n,avgIfdsExposureTime,,make,model,logValues,modelName,makeName
7#3027,3.229849,0.003229849,7,3027,0.509182219,MVC-CD500,Sony
8#3307,3.230179,0.003230179,8,3307,0.509226589,COOLPIXS620,Nikon
9#1305,3.237504,0.003237504,9,1305,0.510210314,FE5020X935,OLYMPUSIMAGINGCORP.
9#2000,3.238976,0.003238976,9,2000,0.51040773,SP310,OLYMPUSIMAGINGCORP.
24#2440,3.240054,0.003240054,24,2440,0.510552248,FinePixZ80,FUJIFILM
9#316,3.241796,0.003241796,9,316,0.510785682,FE340X855C560,OLYMPUSIMAGINGCORP.
76#756,3.245496,0.003245496,76,756,0.511281078,DiMAGEX,MINOLTACO.LTD
95#2990,3.251227,0.003251227,95,2990,0.512047293,E53+,BenQ
51#821,3.259328,0.003259328,51,821,0.513128068,1,DigitalCamera
109#2532,3.261643,0.003261643,109,2532,0.513436424,CONTAXU4R,KYOCERA
74#1765,3.262062,0.003262062,74,1765,0.513492211,S5,SANYOElectricCo.Ltd.
8#977,3.265727,0.003265727,8,977,0.513979877,E8800,Nikon
17#897,3.284843,0.003284843,17,897,0.516514617,C2020Z,OLYMPUSOPTICALCO.LTD
24#1924,3.293012,0.003293012,24,1924,0.517593313,FinePixS3500,FUJIFILM
109#2240,3.304466,0.003304466,109,2240,0.519101288,FinecamS5R,KYOCERA
109#2407,3.304716,0.003304716,109,2407,0.519134143,FinecamS5,KYOCERA
109#3404,3.305728,0.003305728,109,3404,0.519267116,FinecamS3R,KYOCERA
26#2609,3.307462,0.003307462,26,2609,0.519494863,Digimax420,SamsungTechwin
74#2840,3.310863,0.003310863,74,2840,0.51994121,S60,SANYOElectricCo.Ltd.
39#1825,3.319011,0.003319011,39,1825,0.521008692,PhotosmartM425,Hewlett-Packard
6#2410,3.319767,0.003319767,6,2410,0.521107604,NIKOND3300,Nikon Corporation
8#604,3.32794,0.00332794,8,604,0.522175488,COOLPIXL6,Nikon
39#2914,3.33,0.00333,39,2914,0.522444234,HPPhotoSmartC945(V01.39),Hewlett-Packard
16#2509,3.336401,0.003336401,16,2509,0.523278243,LG-P940.,LGElectronics
41#2722,3.339717,0.003339717,41,2722,0.523709667,DiMAGEZ20,KONICAMINOLTA
24#1484,3.350875,0.003350875,24,1484,0.525158227,FinePixJ30J32J38,FUJIFILM
7#2317,3.355543,0.003355543,7,2317,0.525762809,DSC-S80,Sony
9#1144,3.359184,0.003359184,9,1144,0.526233793,u730/S730,OLYMPUSIMAGINGCORP.
24#2963,3.360205,0.003360205,24,2963,0.526365774,FinePixA510,FUJIFILM
39#1459,3.372713,0.003372713,39,1459,0.527979387,HPPhotoSmartC850(V05.31),Hewlett-Packard
139#2981,3.378378,0.003378378,139,2981,0.52870824,i531,Polaroid
7#2619,3.378808,0.003378808,7,2619,0.528763514,DSC-W15,Sony
19#4276,3.38,0.00338,19,4276,0.5289167,MotoA953073c0001fff80000015e,Motorola
41#288,3.380695,0.003380695,41,288,0.529005991,DiMAGEX60,KONICAMINOLTA
8#461,3.38107,0.00338107,8,461,0.529054162,E5600,Nikon
74#1228,3.389969,0.003389969,74,1228,0.530195727,HD800,SANYOElectricCo.Ltd.
87#3451,3.390336,0.003390336,87,3451,0.530242741,L-410,SEIKOEPSONCORP.
9#1728,3.391257,0.003391257,9,1728,0.530360703,FE320X835C540,OLYMPUSIMAGINGCORP.
14#3275,3.396739,0.003396739,14,3275,0.531062178,CanonELURA80,Canon
17#804,3.397665,0.003397665,17,804,0.531180556,C40ZD40Z,OLYMPUSOPTICALCO.LTD
9#2748,3.399456,0.003399456,9,2748,0.531409424,FE-120X-700,OLYMPUSIMAGINGCORP.
8#3096,3.410726,0.003410726,8,3096,0.532846832,COOLPIXS600,Nikon
30#987,3.419213,0.003419213,30,987,0.533926156,X250D560ZC350Z,OLYMPUSCORPORATION
74#2193,3.421754,0.003421754,74,2193,0.534248784,CA100,SANYOElectricCo.Ltd.
24#549,3.422043,0.003422043,24,549,0.534285462,FinePixS2000HDS2100HD,FUJIFILM
8#3157,3.445922,0.003445922,8,3157,0.537305443,COOLPIXS52,Nikon
24#2282,3.449553,0.003449553,24,2282,0.537762822,FinePixF20,FUJIFILM
24#4178,3.450001,0.003450001,24,4178,0.537819221,FinePixZ900EXR,FUJIFILM
24#2723,3.451742,0.003451742,24,2723,0.538038327,FinePixA500,FUJIFILM
24#139,3.453265,0.003453265,24,139,0.538229907,FinePixXP10,FUJIFILM
8#2705,3.454861,0.003454861,8,2705,0.538430579,COOLPIXL10,Nikon
8#612,3.465038,0.003465038,8,612,0.539708002,E3500,Nikon
24#1294,3.465279,0.003465279,24,1294,0.539738207,FinePixJ50,FUJIFILM
5#3672,3.466687,0.003466687,5,3672,0.539914632,SCH-I510,SAMSUNG
19#1346,3.467249,0.003467249,19,1346,0.539985032,XT1068,Motorola
18#1444,3.471703,0.003471703,18,1444,0.540542565,KODAKEASYSHAREC613ZOOMDIG,EASTMANKODAKCOMPANY
24#1590,3.477509,0.003477509,24,1590,0.541268263,FinePixS5800S800,FUJIFILM
4#3623,3.4815,0.0034815,4,3623,0.5417664,DMC-ZS6,Panasonic
38#828,3.483966,0.003483966,38,828,0.542073908,DiMAGEE323,MinoltaCo.Ltd.
8#475,3.484448,0.003484448,8,475,0.542133988,COOLPIXL100,Nikon
7#2544,3.488793,0.003488793,7,2544,0.542675202,DSC-W630,Sony
24#1772,3.49142,0.00349142,24,1772,0.543002095,FinePixAV150,FUJIFILM
4#507,3.494113,0.003494113,4,507,0.543336946,DMC-GF6,Panasonic
8#333,3.494822,0.003494822,8,333,0.543425061,COOLPIXS550,Nikon
87#2403,3.495174,0.003495174,87,2403,0.543468801,PhotoPC3100Z,SEIKOEPSONCORP.
8#882,3.500077,0.003500077,8,882,0.544077599,E4200,Nikon
5#3686,3.505355,0.003505355,5,3686,0.544732007,SGH-T959V,SAMSUNG
8#73,3.508388,0.003508388,8,73,0.545107617,E5900,Nikon
24#1534,3.516948,0.003516948,24,1534,0.546165947,FinePixS2000HD,FUJIFILM
8#4148,3.5175,0.0035175,8,4148,0.546234106,COOLPIXS2700,Nikon
6#2576,3.523181,0.003523181,6,2576,0.546934955,NIKON1V1,Nikon Corporation
74#2335,3.523674,0.003523674,74,2335,0.546995722,HD2,SANYOElectricCo.Ltd.
10#1362,3.524612,0.003524612,10,1362,0.547111316,E72-1,Nokia
8#2271,3.526915,0.003526915,8,2271,0.547394993,COOLPIXL820,Nikon
24#2297,3.527405,0.003527405,24,2297,0.547455326,FinePixS6000fd,FUJIFILM
24#825,3.532963,0.003532963,24,825,0.548139089,FinePixZ100fd,FUJIFILM
74#2675,3.536,0.003536,74,2675,0.548512256,C6,SANYOElectricCo.Ltd.
24#2442,3.537023,0.003537023,24,2442,0.548637884,FinePixS4500,FUJIFILM
79#2333,3.53754,0.00353754,79,2333,0.548701359,SuperSlimXS7,Supra
4#2183,3.53768,0.00353768,4,2183,0.548718546,DMC-FH2,Panasonic
24#2670,3.537915,0.003537915,24,2670,0.548747395,FinePixE900,FUJIFILM
8#17,3.538006,0.003538006,8,17,0.548758565,COOLPIXL21,Nikon
95#1566,3.538563,0.003538563,95,1566,0.548826932,DCE800,BenQ
8#1109,3.539738,0.003539738,8,1109,0.548971118,COOLPIXS4,Nikon
24#4072,3.541307,0.003541307,24,4072,0.549163578,FinePixF600EXR,FUJIFILM
7#2387,3.54405,0.00354405,7,2387,0.54949984,DSC-T500,Sony
9#1288,3.545825,0.003545825,9,1288,0.549717298,IR-300,OLYMPUSIMAGINGCORP.
8#476,3.551887,0.003551887,8,476,0.550459141,COOLPIXP100,Nikon
24#836,3.55555,0.00355555,24,836,0.55090679,FinePixF402,FUJIFILM
91#2034,3.55696,0.00355696,91,2034,0.551078981,D903i,DoCoMo
24#3019,3.560974,0.003560974,24,3019,0.551568803,FinePixA360,FUJIFILM
38#880,3.571983,0.003571983,38,880,0.552909383,DiMAGEXi,MinoltaCo.Ltd.
24#375,3.575422,0.003575422,24,375,0.553327308,FinePixF480,FUJIFILM
4#2534,3.579158,0.003579158,4,2534,0.553780871,DMC-FH1,Panasonic
8#1593,3.581282,0.003581282,8,1593,0.55403852,COOLPIXL4,Nikon
8#235,3.589727,0.003589727,8,235,0.555061422,E3200,Nikon
9#1409,3.600194,0.003600194,9,1409,0.556325904,FE280X820C520,OLYMPUSIMAGINGCORP.
74#968,3.601066,0.003601066,74,968,0.556431081,C5,SANYOElectricCo.Ltd.
4#2368,3.601299,0.003601299,4,2368,0.55645918,DMC-FP1,Panasonic
24#1283,3.604507,0.003604507,24,1283,0.556845873,FinePixF60fd,FUJIFILM
8#394,3.606438,0.003606438,8,394,0.55707847,E4500,Nikon
24#550,3.608492,0.003608492,24,550,0.557325747,FinePixS5700S700,FUJIFILM
9#2660,3.60866,0.00360866,9,2660,0.557345966,FE180/X745,OLYMPUSIMAGINGCORP.
9#930,3.612664,0.003612664,9,930,0.557827571,SZ-17,OLYMPUSIMAGINGCORP.
18#1248,3.622549,0.003622549,18,1248,0.559014269,KODAKP850ZOOMDIGITALCAMER,EASTMANKODAKCOMPANY
39#283,3.62779,0.00362779,39,283,0.559642139,HPPhotosmartM630,Hewlett-Packard
24#1629,3.634156,0.003634156,24,1629,0.560403566,FinePixS4000,FUJIFILM
17#1140,3.638312,0.003638312,17,1140,0.560899939,C740UZ,OLYMPUSOPTICALCO.LTD
17#1927,3.639838,0.003639838,17,1927,0.561082055,C730UZ,OLYMPUSOPTICALCO.LTD
17#251,3.641262,0.003641262,17,251,0.561251929,C750UZ,OLYMPUSOPTICALCO.LTD
17#252,3.641387,0.003641387,17,252,0.561266837,C990ZD490Z,OLYMPUSOPTICALCO.LTD
8#218,3.641823,0.003641823,8,218,0.561318834,E3700,Nikon
24#3920,3.642,0.003642,24,3920,0.561339941,FinePixF550EXR,FUJIFILM
17#2602,3.642265,0.003642265,17,2602,0.561371541,C4100ZC4000Z,OLYMPUSOPTICALCO.LTD
17#289,3.642991,0.003642991,17,289,0.561458098,C200ZD510Z,OLYMPUSOPTICALCO.LTD
5#3495,3.643949,0.003643949,5,3495,0.56157229,SGH-I897,SAMSUNG
17#858,3.644471,0.003644471,17,858,0.561634499,C300ZD550Z,OLYMPUSOPTICALCO.LTD
17#911,3.644922,0.003644922,17,911,0.561688239,C700UZ,OLYMPUSOPTICALCO.LTD
24#3837,3.647501,0.003647501,24,3837,0.56199542,FinePixF300EXR,FUJIFILM
24#2746,3.653199,0.003653199,24,2746,0.56267333,FinePixA610,FUJIFILM
24#2702,3.653673,0.003653673,24,2702,0.562729676,FinePixF450,FUJIFILM
30#280,3.654687,0.003654687,30,280,0.562850188,C760UZ,OLYMPUSCORPORATION
30#300,3.655251,0.003655251,30,300,0.562917205,C765UZ,OLYMPUSCORPORATION
74#1603,3.655368,0.003655368,74,1603,0.562931106,CA65,SANYOElectricCo.Ltd.
30#889,3.655514,0.003655514,30,889,0.562948452,C770UZ,OLYMPUSCORPORATION
38#1039,3.66031,0.00366031,38,1039,0.563517868,DiMAGEZ1,MinoltaCo.Ltd.
4#1295,3.668406,0.003668406,4,1295,0.564477395,DMC-FX10,Panasonic
4#1423,3.669221,0.003669221,4,1423,0.56457387,DMC-FZ2,Panasonic
4#1450,3.671499,0.003671499,4,1450,0.564843414,DMC-LZ8,Panasonic
30#1140,3.673427,0.003673427,30,1140,0.565071414,C740UZ,OLYMPUSCORPORATION
4#1692,3.673738,0.003673738,4,1692,0.56510818,DMC-FX40,Panasonic
30#251,3.674251,0.003674251,30,251,0.565168821,C750UZ,OLYMPUSCORPORATION
4#1867,3.677056,0.003677056,4,1867,0.565500244,DMC-FS62,Panasonic
4#2109,3.681679,0.003681679,4,2109,0.56604592,DMC-FX48,Panasonic
4#2230,3.68274,0.00368274,4,2230,0.566171059,DMC-FX55,Panasonic
39#1428,3.68419,0.00368419,39,1428,0.566342019,HPPhotoSmartR707(V01.00)d,Hewlett-Packard
18#961,3.684367,0.003684367,18,961,0.566362884,KODAKEASYSHARECX7300DIGITA,EASTMANKODAKCOMPANY
24#1559,3.688301,0.003688301,24,1559,0.566826356,FinePixF455,FUJIFILM
8#1525,3.692781,0.003692781,8,1525,0.567353553,COOLPIXS8100,Nikon
4#428,3.695157,0.003695157,4,428,0.567632895,DMC-FZ47,Panasonic
60#566,3.701141,0.003701141,60,566,0.56833563,QCAM-AA,QCOM-AA
39#1691,3.701736,0.003701736,39,1691,0.568405443,HPPhotoSmartR607(V01.00),Hewlett-Packard
4#559,3.701799,0.003701799,4,559,0.568412834,DMC-FX50,Panasonic
4#639,3.703724,0.003703724,4,639,0.568638616,DMC-FX520,Panasonic
8#2341,3.703872,0.003703872,8,2341,0.56865597,E5100,Nikon
4#774,3.707353,0.003707353,4,774,0.56906394,DMC-FX12,Panasonic
4#899,3.709408,0.003709408,4,899,0.569304604,DMC-FZ30,Panasonic
4#912,3.710054,0.003710054,4,912,0.569380231,DMC-FS6,Panasonic
8#1442,3.714906,0.003714906,8,1442,0.569947829,E3100,Nikon
48#2001,3.716502,0.003716502,48,2001,0.570134371,EX-N20,CASIOCOMPUTERCO.LTD.
50#1494,3.719333,0.003719333,50,1494,0.570465063,DiMAGEZ2,KonicaMinoltaCameraInc.
8#1469,3.722856,0.003722856,8,1469,0.570876238,COOLPIXS560,Nikon
24#986,3.72457,0.00372457,24,986,0.571076141,FinePixJV100,FUJIFILM
7#104,3.733638,0.003733638,7,104,0.572132208,DSC-T1,Sony
7#1050,3.733763,0.003733763,7,1050,0.572146748,DSC-T50,Sony
7#1073,3.734927,0.003734927,7,1073,0.572282118,DSC-T200,Sony
9#1894,3.737406,0.003737406,9,1894,0.572570278,u1060S1060,OLYMPUSIMAGINGCORP.
7#143,3.739215,0.003739215,7,143,0.572780437,DSC-T2,Sony
7#1477,3.739257,0.003739257,7,1477,0.572785315,DSC-P93,Sony
8#1558,3.740742,0.003740742,8,1558,0.572957756,COOLPIXS230,Nikon
7#1633,3.741557,0.003741557,7,1633,0.573052366,DSC-T900,Sony
7#1677,3.742742,0.003742742,7,1677,0.573189891,DSC-V3,Sony
7#1714,3.742988,0.003742988,7,1714,0.573218435,DSC-T90,Sony
7#1780,3.744072,0.003744072,7,1780,0.573344192,DSC-P52,Sony
7#1919,3.746058,0.003746058,7,1919,0.573574497,DSC-T99,Sony
7#220,3.746974,0.003746974,7,220,0.57368068,DSC-T10,Sony
7#27,3.749932,0.003749932,7,27,0.574023392,DSC-T77,Sony
4#2993,3.750871,0.003750871,4,2993,0.574132128,DMC-LS70,Panasonic
7#350,3.754025,0.003754025,7,350,0.57449716,DSC-T7,Sony
7#457,3.755982,0.003755982,7,457,0.574723502,DSC-T9,Sony
7#463,3.756003,0.003756003,7,463,0.57472593,DSC-T5,Sony
7#529,3.756522,0.003756522,7,529,0.574785937,DSC-T100,Sony
8#425,3.758922,0.003758922,8,425,0.575063314,COOLPIXL1,Nikon
24#2381,3.759804,0.003759804,24,2381,0.575165206,FinePixF200EXR,FUJIFILM
7#588,3.760076,0.003760076,7,588,0.575196623,DSC-T70,Sony
7#733,3.763108,0.003763108,7,733,0.575546683,DSC-TX7,Sony
9#3959,3.765478,0.003765478,9,3959,0.575820115,FE5030X965X960,OLYMPUSIMAGINGCORP.
7#815,3.766653,0.003766653,7,815,0.575955613,DSC-T300,Sony
7#816,3.767178,0.003767178,7,816,0.576016141,DSC-T3,Sony
7#905,3.769534,0.003769534,7,905,0.576287665,DSC-T700,Sony
24#2966,3.769761,0.003769761,24,2966,0.576313817,FinePixF45fd,FUJIFILM
7#957,3.770996,0.003770996,7,957,0.576456072,DSC-P32,Sony
7#959,3.770996,0.003770996,7,959,0.576456072,DSC-T20,Sony
24#2665,3.771407,0.003771407,24,2665,0.576503403,FinePixF401,FUJIFILM
7#978,3.771511,0.003771511,7,978,0.576515379,DSC-T30,Sony
136#4123,3.772161,0.003772161,136,4123,0.576590221,GZ-MG340,JVC
14#2999,3.773585,0.003773585,14,2999,0.576754137,CanonMVX1S,Canon
8#215,3.781322,0.003781322,8,215,0.577643661,COOLPIXL22,Nikon
8#2454,3.783528,0.003783528,8,2454,0.577896952,COOLPIXL24,Nikon
44#1828,3.788047,0.003788047,44,1828,0.578415359,3MDSC,
33#1384,3.790879,0.003790879,33,1384,0.578739923,U1i,SonyEricsson
8#910,3.796931,0.003796931,8,910,0.579432705,COOLPIXL310,Nikon
8#19,3.797766,0.003797766,8,19,0.579528202,E4600,Nikon
8#426,3.800566,0.003800566,8,426,0.579848279,E5700,Nikon
9#1158,3.800858,0.003800858,9,1158,0.579881645,SP510UZ,OLYMPUSIMAGINGCORP.
9#1241,3.801568,0.003801568,9,1241,0.579962763,FE230/X790,OLYMPUSIMAGINGCORP.
9#1417,3.80336,0.00380336,9,1417,0.580167435,SP500UZ,OLYMPUSIMAGINGCORP.
24#2732,3.804056,0.003804056,24,2732,0.580246902,FinePixS20Pro,FUJIFILM
9#1888,3.80571,0.00380571,9,1888,0.580435691,SP350,OLYMPUSIMAGINGCORP.
9#1889,3.805994,0.003805994,9,1889,0.580468099,SZ-14,OLYMPUSIMAGINGCORP.
9#211,3.806713,0.003806713,9,211,0.580550135,X550D545ZC480Z,OLYMPUSIMAGINGCORP.
9#2144,3.806934,0.003806934,9,2144,0.580575348,TG-850,OLYMPUSIMAGINGCORP.
109#1190,3.806998,0.003806998,109,1190,0.580582649,CONTAXSL300RT*,KYOCERA
9#2224,3.808694,0.003808694,9,2224,0.580776082,SP320,OLYMPUSIMAGINGCORP.
9#2683,3.811395,0.003811395,9,2683,0.58108396,IR-500,OLYMPUSIMAGINGCORP.
24#2394,3.812055,0.003812055,24,2394,0.581159158,FinePixF500EXR,FUJIFILM
9#3343,3.812925,0.003812925,9,3343,0.581258263,u1000/S1000,OLYMPUSIMAGINGCORP.
8#3409,3.815382,0.003815382,8,3409,0.581538026,COOLPIXS225,Nikon
4#3303,3.818121,0.003818121,4,3303,0.581849687,DMC-FS4,Panasonic
19#3726,3.819553,0.003819553,19,3726,0.582012541,ME860,Motorola
4#3464,3.820856,0.003820856,4,3464,0.58216067,DMC-FS12,Panasonic
4#1114,3.822511,0.003822511,4,1114,0.582348744,DMC-TZ18,Panasonic
4#2104,3.824092,0.003824092,4,2104,0.582528332,DMC-GM1,Panasonic
