n,avgIfdsBrightnessValue,make,model,modelName,makeName
19#2046,2.629427083,19,2046,DROID2GLOBAL1c080001ffd8000,Motorola
5#1978,2.642222222,5,1978,SM-N915K,SAMSUNG
15#2087,2.650252154,15,2087,HTCButterflys,HTC
39#2936,2.654947917,39,2936,HPPhotoSmartR607(V01.00)d,Hewlett-Packard
19#3589,2.655048077,19,3589,DROID2GLOBAL020c0021ffd8000,Motorola
3#1636,2.660927398,3,1636,iPadAir2,apple
24#2692,2.670444444,24,2692,FinePix2650,FUJIFILM
24#2693,2.675327869,24,2693,FinePixA205,FUJIFILM
5#2006,2.680769231,5,2006,SC-03D,SAMSUNG
7#1686,2.680924479,7,1686,NEX-VG30E,Sony
24#799,2.710677966,24,799,FinePixF810,FUJIFILM
73#1669,2.718604651,73,1669,RICOHR8,RICOH
5#3553,2.724615385,5,3553,SCH-I500,SAMSUNG
24#3773,2.730666667,24,3773,FinePixS3280,FUJIFILM
7#613,2.753082707,7,613,DSLR-A200,Sony
24#925,2.773535714,24,925,FinePixX100,FUJIFILM
39#3083,2.775333333,39,3083,HPPhotosmartM440,Hewlett-Packard
24#3835,2.78,24,3835,FinePixJX360,FUJIFILM
19#3778,2.783333333,19,3778,DROID2,Motorola
91#3111,2.79,91,3111,F700i,DoCoMo
24#3457,2.806666667,24,3457,FinePixJ27J28J29,FUJIFILM
41#3026,2.81,41,3026,ALPHASWEETDIGITAL,KONICAMINOLTA
19#2380,2.827314269,19,2380,DROID2GLOBAL,Motorola
5#3936,2.8359375,5,3936,SCH-R530U,SAMSUNG
24#2710,2.84375,24,2710,FinePixA202,FUJIFILM
19#1343,2.87109375,19,1343,MB525,Motorola
24#2782,2.889230769,24,2782,FinePixA400,FUJIFILM
7#736,2.934475524,7,736,DSLR-A300,Sony
24#3821,2.935,24,3821,FinePixJX200JX210,FUJIFILM
24#2971,2.943461538,24,2971,FinePixA805,FUJIFILM
5#4090,2.97,5,4090,SHW-M110S,SAMSUNG
73#2650,2.996052632,73,2650,CaplioR4,RICOH
5#4311,3,5,4311,GT-S7230E,SAMSUNG
24#441,3.015943396,24,441,X-T1,FUJIFILM
151#1734,3.036225577,151,1734,HTC6525LV,HT
5#1576,3.045555556,5,1576,SC-02B,SAMSUNG
19#3945,3.062988281,19,3945,MB6125cfc0001ffd900000a3ab18,Motorola
7#339,3.067548387,7,339,SLT-A55V,Sony
5#2483,3.071328125,5,2483,GT-S8530,SAMSUNG
38#1560,3.075,38,1560,DiMAGEG500,MinoltaCo.Ltd.
39#2741,3.076171875,39,2741,HPPhotoSmartR507(V01.00),Hewlett-Packard
5#2284,3.076965828,5,2284,SPH-L720,SAMSUNG
5#3777,3.081666667,5,3777,SGH-I997,SAMSUNG
73#1717,3.1025,73,1717,GRDigital,RICOH
5#3940,3.118571429,5,3940,SGH-I717,SAMSUNG
7#472,3.138113655,7,472,DSC-QX100,Sony
5#1761,3.143140496,5,1761,SM-G800F,SAMSUNG
7#1699,3.148501855,7,1699,NEX-5R,Sony
5#2210,3.175833333,5,2210,SGH-I727R,SAMSUNG
15#4058,3.1827714,15,4058,HTCONE,HTC
5#671,3.18663919,5,671,SCH-I535,SAMSUNG
7#2738,3.2,7,2738,CLIE,Sony
24#2760,3.206363636,24,2760,FinePixZ5fd,FUJIFILM
5#1979,3.207288136,5,1979,SPH-M8400,SAMSUNG
24#892,3.225735294,24,892,FinePixZ2,FUJIFILM
